/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/06-Write_Me_a_Letter.mp3, aerosmith, 06-Write_Me_a_Letter
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/04-Love_Song.mp3, cure, 04-Love_Song
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/05-Last_Dance.mp3, cure, 05-Last_Dance
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/10-Disintegration.mp3, cure, 10-Disintegration
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/08-Prayers_For_Rain.mp3, cure, 08-Prayers_For_Rain
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/02-Pictures_Of_You.mp3, cure, 02-Pictures_Of_You
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/09-The_Same_Deep_Water_As_You.mp3, cure, 09-The_Same_Deep_Water_As_You
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/11-Homesick.mp3, cure, 11-Homesick
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/01-Plainsong.mp3, cure, 01-Plainsong
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/05-Why_Can_t_I_Be_You_.mp3, cure, 05-Why_Can_t_I_Be_You_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/06-How_Beautiful_You_Are.mp3, cure, 06-How_Beautiful_You_Are
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/03-Torture.mp3, cure, 03-Torture
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/02-Catch.mp3, cure, 02-Catch
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/08-Just_Like_Heaven.mp3, cure, 08-Just_Like_Heaven
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/16-Shiver_And_Shake.mp3, cure, 16-Shiver_And_Shake
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/10-Hot_Hot_Hot_.mp3, cure, 10-Hot_Hot_Hot_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/15-A_Thousand_Hours.mp3, cure, 15-A_Thousand_Hours
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/12-Like_Cockatoos.mp3, cure, 12-Like_Cockatoos
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/09-All_I_Want.mp3, cure, 09-All_I_Want
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/01-The_Kiss.mp3, cure, 01-The_Kiss
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/14-The_Perfect_Girl.mp3, cure, 14-The_Perfect_Girl
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/17-Fight.mp3, cure, 17-Fight
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/04-If_Only_Tonight_We_Could_Sleep.mp3, cure, 04-If_Only_Tonight_We_Could_Sleep
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/11-One_More_Time.mp3, cure, 11-One_More_Time
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/07-The_Snakepit.mp3, cure, 07-The_Snakepit
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Kiss_Me_Kiss_Me_Kiss_Me/13-Icing_Sugar.mp3, cure, 13-Icing_Sugar
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/07-Close_to_Me.mp3, cure, 07-Close_to_Me
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/02-Kyoto_Song.mp3, cure, 02-Kyoto_Song
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/09-Screw.mp3, cure, 09-Screw
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/10-Sinking.mp3, cure, 10-Sinking
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/06-The_Baby_Screams.mp3, cure, 06-The_Baby_Screams
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/03-The_Blood.mp3, cure, 03-The_Blood
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/08-A_Night_Like_This.mp3, cure, 08-A_Night_Like_This
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/01-In_Between_Days.mp3, cure, 01-In_Between_Days
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/04-Six_Different_Ways.mp3, cure, 04-Six_Different_Ways
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Head_on_the_Door/05-Push.mp3, cure, 05-Push
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/02-Bird_Mad_Girl.mp3, cure, 02-Bird_Mad_Girl
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/10-The_Top.mp3, cure, 10-The_Top
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/05-Dressing_Up.mp3, cure, 05-Dressing_Up
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/01-Shake_Dog_Shake.mp3, cure, 01-Shake_Dog_Shake
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/07-Piggy_In_The_Mirror.mp3, cure, 07-Piggy_In_The_Mirror
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/09-Bananafishbones.mp3, cure, 09-Bananafishbones
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/06-The_Caterpillar.mp3, cure, 06-The_Caterpillar
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/08-The_Empty_World.mp3, cure, 08-The_Empty_World
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/03-Wailing_Wall.mp3, cure, 03-Wailing_Wall
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/The_Top/04-Give_Me_It.mp3, cure, 04-Give_Me_It
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/12-Hidden_Track_1.mp3, dave_matthews_band, 12-Hidden_Track_1
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/08-Crush.mp3, dave_matthews_band, 08-Crush
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/10-Pig.mp3, dave_matthews_band, 10-Pig
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/11-Spoon.mp3, dave_matthews_band, 11-Spoon
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/05-Stay_Wasting_Time_.mp3, dave_matthews_band, 05-Stay_Wasting_Time_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/02-Rapunzel.mp3, dave_matthews_band, 02-Rapunzel
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/07-The_Stone.mp3, dave_matthews_band, 07-The_Stone
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/01-Pantala_Naga_Pampa.mp3, dave_matthews_band, 01-Pantala_Naga_Pampa
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/04-Don_t_Drink_the_Water.mp3, dave_matthews_band, 04-Don_t_Drink_the_Water
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/03-The_Last_Stop.mp3, dave_matthews_band, 03-The_Last_Stop
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/13-Hidden_Track_2.mp3, dave_matthews_band, 13-Hidden_Track_2
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/09-The_Dreaming_Tree.mp3, dave_matthews_band, 09-The_Dreaming_Tree
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Before_These_Crowded_Streets/06-Halloween.mp3, dave_matthews_band, 06-Halloween
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/10-Big_Eyed_Fish.mp3, dave_matthews_band, 10-Big_Eyed_Fish
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/01-Busted_Stuff.mp3, dave_matthews_band, 01-Busted_Stuff
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/04-You_Never_Know.mp3, dave_matthews_band, 04-You_Never_Know
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/03-Where_Are_You_Going.mp3, dave_matthews_band, 03-Where_Are_You_Going
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/06-Raven.mp3, dave_matthews_band, 06-Raven
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/07-Grace_Is_Gone.mp3, dave_matthews_band, 07-Grace_Is_Gone
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/09-Digging_a_Ditch.mp3, dave_matthews_band, 09-Digging_a_Ditch
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/02-Grey_Street.mp3, dave_matthews_band, 02-Grey_Street
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/08-Kit_Kat_Jam.mp3, dave_matthews_band, 08-Kit_Kat_Jam
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/11-Bartender.mp3, dave_matthews_band, 11-Bartender
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Busted_Stuff/05-Captain.mp3, dave_matthews_band, 05-Captain
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/11-Tripping_Billies.mp3, dave_matthews_band, 11-Tripping_Billies
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/05-_41.mp3, dave_matthews_band, 05-_41
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/03-Crash_Into_Me.mp3, dave_matthews_band, 03-Crash_Into_Me
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/04-Too_Much.mp3, dave_matthews_band, 04-Too_Much
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/01-So_Much_To_Say.mp3, dave_matthews_band, 01-So_Much_To_Say
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/06-Say_Goodbye.mp3, dave_matthews_band, 06-Say_Goodbye
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/08-Let_You_Down.mp3, dave_matthews_band, 08-Let_You_Down
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/07-Drive_In_Drive_Out.mp3, dave_matthews_band, 07-Drive_In_Drive_Out
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/09-Lie_In_Our_Graves.mp3, dave_matthews_band, 09-Lie_In_Our_Graves
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/12-Proudest_Monkey.mp3, dave_matthews_band, 12-Proudest_Monkey
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/10-Cry_Freedom.mp3, dave_matthews_band, 10-Cry_Freedom
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Crash/02-Two_Step.mp3, dave_matthews_band, 02-Two_Step
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/02-When_The_World_Ends.mp3, dave_matthews_band, 02-When_The_World_Ends
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/11-Mother_Father.mp3, dave_matthews_band, 11-Mother_Father
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/08-Angel.mp3, dave_matthews_band, 08-Angel
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/01-I_Did_It.mp3, dave_matthews_band, 01-I_Did_It
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/12-Everyday.mp3, dave_matthews_band, 12-Everyday
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/09-Fool_To_Think.mp3, dave_matthews_band, 09-Fool_To_Think
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/04-Dreams_of_Our_Fathers.mp3, dave_matthews_band, 04-Dreams_of_Our_Fathers
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/07-What_You_Are.mp3, dave_matthews_band, 07-What_You_Are
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/03-The_Space_Between.mp3, dave_matthews_band, 03-The_Space_Between
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/05-So_Right.mp3, dave_matthews_band, 05-So_Right
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/10-Sleep_To_Dream_Her.mp3, dave_matthews_band, 10-Sleep_To_Dream_Her
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/dave_matthews_band/Everyday/06-If_I_Had_It_All.mp3, dave_matthews_band, 06-If_I_Had_It_All
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/04-Nothing_To_Fear.mp3, depeche_mode, 04-Nothing_To_Fear
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/10-The_Sun_The_Rainfall.mp3, depeche_mode, 10-The_Sun_The_Rainfall
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/02-My_Secret_Garden.mp3, depeche_mode, 02-My_Secret_Garden
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/07-The_Meaning_Of_Love.mp3, depeche_mode, 07-The_Meaning_Of_Love
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/01-Leave_In_Silence.mp3, depeche_mode, 01-Leave_In_Silence
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/06-Satellite.mp3, depeche_mode, 06-Satellite
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/08-A_Photograph_Of_You.mp3, depeche_mode, 08-A_Photograph_Of_You
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/05-See_You.mp3, depeche_mode, 05-See_You
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/03-Monument.mp3, depeche_mode, 03-Monument
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/A_Broken_Frame/09-Shouldn_t_Have_Done_That.mp3, depeche_mode, 09-Shouldn_t_Have_Done_That
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/01-Black_Celebration.mp3, depeche_mode, 01-Black_Celebration
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/07-Stripped.mp3, depeche_mode, 07-Stripped
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/08-Here_is_the_house.mp3, depeche_mode, 08-Here_is_the_house
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/11-New_dress.mp3, depeche_mode, 11-New_dress
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/10-Dressed_in_black.mp3, depeche_mode, 10-Dressed_in_black
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/13-But_not_tonight_Extended_Remix_.mp3, depeche_mode, 13-But_not_tonight_Extended_Remix_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/04-Sometimes.mp3, depeche_mode, 04-Sometimes
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/09-World_full_of_nothing.mp3, depeche_mode, 09-World_full_of_nothing
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/06-A_question_of_time.mp3, depeche_mode, 06-A_question_of_time
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/02-Fly_on_the_windscreen.mp3, depeche_mode, 02-Fly_on_the_windscreen
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/14-Black_day.mp3, depeche_mode, 14-Black_day
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/12-Breathing_in_fumes.mp3, depeche_mode, 12-Breathing_in_fumes
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/05-It_doesn_t_matter_two.mp3, depeche_mode, 05-It_doesn_t_matter_two
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Black_Celebration/03-A_question_of_lust.mp3, depeche_mode, 03-A_question_of_lust
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/06-Shame.mp3, depeche_mode, 06-Shame
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/05-Two_Minute_Warning.mp3, depeche_mode, 05-Two_Minute_Warning
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/01-Love,_In_Itself.mp3, depeche_mode, 01-Love,_In_Itself
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/10-Everything_Counts_Long_Version_.mp3, depeche_mode, 10-Everything_Counts_Long_Version_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/04-Everything_Counts.mp3, depeche_mode, 04-Everything_Counts
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/09-And_Then_.mp3, depeche_mode, 09-And_Then_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/02-More_Than_A_Party.mp3, depeche_mode, 02-More_Than_A_Party
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/08-Told_You_So.mp3, depeche_mode, 08-Told_You_So
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/03-Pipeline.mp3, depeche_mode, 03-Pipeline
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Construction_Time_Again/07-The_Landscape_Is_Changing.mp3, depeche_mode, 07-The_Landscape_Is_Changing
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Music_for_the_Masses/03-Strangelove.mp3, depeche_mode, 03-Strangelove
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Music_for_the_Masses/04-Sacred.mp3, depeche_mode, 04-Sacred
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Music_for_the_Masses/14-Pleasure_little_treasure.mp3, depeche_mode, 14-Pleasure_little_treasure
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Music_for_the_Masses/10-Pimpf.mp3, depeche_mode, 10-Pimpf
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Music_for_the_Masses/07-I_want_you_now.mp3, depeche_mode, 07-I_want_you_now
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Music_for_the_Masses/12-Never_let_me_down_again_Aggro_mix_.mp3, depeche_mode, 12-Never_let_me_down_again_Aggro_mix_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/depeche_mode/Music_for_the_Masses/02-The_things_you_said.mp3, depeche_mode, 02-The_things_you_said
